id,value
document,
document.topic_0
document.topic_0.food,0.010385719
document.topic_0.good,0.0077620274
document.topic_0.place,0.0075942758
document.topic_0.great,0.0071265926
document.topic_0.service,0.005471901
document.topic_0.like,0.0048030014
document.topic_0.wine,0.0046285638
document.topic_0.just,0.0046273377
document.topic_0.really,0.0045397985
document.topic_0.time,0.0043719974
document.topic_1
document.topic_1.delivery,0.006205434
document.topic_1.carne,0.0040508495
document.topic_1.cafeteria,0.0032878062
document.topic_1.native,0.0027608771
document.topic_1.hmmm,0.0023467408
document.topic_1.dough,0.0022169177
document.topic_1.valentines,0.0020927999
document.topic_1.tom,0.0019305649
document.topic_1.currently,0.0018415208
document.topic_1.pico,0.0015789357
document.topic_2
document.topic_2.kabob,0.014622214
document.topic_2.hummus,0.009619347
document.topic_2.groupon,0.009413887
document.topic_2.bistro,0.0053197555
document.topic_2.pig,0.004848373
document.topic_2.eastern,0.0047388105
document.topic_2.coupon,0.00441224
document.topic_2.east,0.0038160046
document.topic_2.owned,0.0038082378
document.topic_2.brown,0.0035761306
document.topic_3
document.topic_3.tapas,0.010175879
document.topic_3.authentic,0.008935322
document.topic_3.thai,0.007982317
document.topic_3.flavors,0.0058697993
document.topic_3.coconut,0.005098302
document.topic_3.tortilla,0.0045025004
document.topic_3.lovely,0.004283304
document.topic_3.burrito,0.003969214
document.topic_3.market,0.003354011
document.topic_3.greek,0.0032897121
document.topic_4
document.topic_4.flights,0.008944805
document.topic_4.chipotle,0.00795938
document.topic_4.gf,0.0026446988
document.topic_4.paste,0.0026191394
document.topic_4.blah,0.002435593
document.topic_4.sub,0.0020613722
document.topic_4.bucket,0.0019647342
document.topic_4.eh,0.0018282125
document.topic_4.friggin,0.0017367296
document.topic_4.bay,0.0016224991
document.topic_5
document.topic_5.meats,0.007969176
document.topic_5.mediterranean,0.006555878
document.topic_5.phenomenal,0.004026652
document.topic_5.soy,0.003695777
document.topic_5.mac,0.0035831449
document.topic_5.pricing,0.0034662427
document.topic_5.concept,0.0032896055
document.topic_5.personable,0.0031630986
document.topic_5.lunchtime,0.0028502939
document.topic_5.sausages,0.0027435308
document.topic_6
document.topic_6.panini,0.0059388727
document.topic_6.pan,0.0058491533
document.topic_6.calories,0.0039925496
document.topic_6.regularly,0.003693166
document.topic_6.apples,0.0032764424
document.topic_6.deserts,0.003124972
document.topic_6.guitar,0.003059548
document.topic_6.recipe,0.002741455
document.topic_6.advertised,0.0026150167
document.topic_6.understaffed,0.0023773366
document.topic_7
document.topic_7.daughter,0.007468952
document.topic_7.locally,0.0021255382
document.topic_7.exquisite,0.0016296195
document.topic_7.definetly,0.0016239979
document.topic_7.sampling,0.0015666314
document.topic_7.rotation,0.0015132725
document.topic_7.spare,0.0014326158
document.topic_7.swing,0.0013163311
document.topic_7.facebook,0.0012849844
document.topic_7.hunger,0.0011375234
document.topic_8
document.topic_8.noodles,0.009179076
document.topic_8.eggplant,0.007737209
document.topic_8.japanese,0.0058010207
document.topic_8.sushi,0.0053977054
document.topic_8.grocery,0.005352378
document.topic_8.african,0.0035654898
document.topic_8.terrific,0.0033698876
document.topic_8.squid,0.0032960917
document.topic_8.mac,0.0028969254
document.topic_8.asian,0.002823373
document.topic_9
document.topic_9.purchase,0.0038265246
document.topic_9.adorable,0.0031275472
document.topic_9.favs,0.0029200965
document.topic_9.sisters,0.0020143276
document.topic_9.wished,0.0020038057
document.topic_9.00pm,0.0017758358
document.topic_9.wedge,0.0013937061
document.topic_9.carefully,0.0011961876
document.topic_9.rip,0.0010016994
document.topic_9.capital,0.00096024916
